Id,MSZoning,LotArea,OverallQual,OverallCond,YearBuilt,ExterQual,TotalBsmtSF,GrLivArea,SalePrice,BedroomAbvGr,FullBath,HalfBath,Fireplaces,GarageCars,GarageArea,PoolArea
680,RL,9945,5,5,1961,TA,988,988,128500,5,2,0,1,1,356,1
681,RL,8012,6,5,1980,TA,923,923,143000,1,1,0,1,1,292,0
682,RH,4500,5,5,1932,TA,793,1520,159434,2,1,1,0,1,277,0
683,RL,2887,6,5,1996,TA,1291,1291,173000,2,1,0,0,3,303,0
684,RL,11248,9,5,2002,Gd,1626,1668,285000,3,1,0,1,2,497,1
685,RL,16770,7,5,1998,Gd,1195,1839,221000,2,3,0,1,1,369,0
686,RL,5062,7,5,1984,Gd,1190,2090,207500,2,1,1,0,2,373,1
687,FV,10207,7,6,2007,Gd,874,1761,227875,4,1,0,0,1,210,0
688,FV,5105,7,5,2004,Gd,551,1102,148800,3,3,1,0,3,108,1
689,RL,8089,8,6,2007,Gd,1419,1419,392000,5,1,0,0,2,312,0
690,RL,7577,6,5,2005,Gd,1362,1362,194700,2,1,0,0,1,217,1
691,RM,4426,6,5,2004,Gd,848,848,141000,5,1,1,1,1,167,1
692,RL,21535,10,6,1994,Ex,2444,4316,755000,3,2,0,0,3,336,0
693,RL,26178,7,5,1989,Gd,1210,2519,335000,1,2,1,1,3,326,0
694,RL,5400,5,6,1921,TA,1073,1073,108480,5,3,1,0,2,498,0
695,RM,6120,5,6,1936,TA,927,1539,141500,2,3,1,1,2,459,0
696,RL,13811,6,6,1987,TA,1112,1137,176000,1,2,1,1,3,156,0
697,RM,6000,5,7,1921,TA,616,616,89000,4,2,1,0,1,311,1
698,RL,6420,5,7,1952,TA,980,1148,123500,5,1,1,0,1,412,1
699,RL,8450,5,8,1965,TA,894,894,138500,5,2,0,0,3,432,1
700,FV,4282,7,5,2004,Gd,1391,1391,196000,2,1,0,1,1,301,1
701,RL,14331,8,5,2002,Gd,1800,1800,312500,1,3,0,1,1,430,1
702,RL,9600,7,5,1969,TA,1164,1164,140000,4,1,1,1,1,194,0
703,RL,12438,8,5,2006,Ex,1234,2576,361919,2,2,1,0,2,278,0
704,RM,7630,5,9,1900,TA,360,1812,140000,5,3,1,0,3,381,0
705,RL,8400,7,5,2004,Gd,1473,1484,213000,3,3,0,0,2,367,1
706,RM,5600,4,5,1930,Fa,0,1092,55000,4,3,1,1,1,372,0
707,RL,115149,7,5,1971,TA,1643,1824,302000,2,2,0,1,1,136,1
708,RL,6240,8,5,2006,Gd,1324,1324,254000,4,2,0,0,1,336,1
709,RL,9018,7,5,2007,Gd,728,1456,179540,4,1,0,0,1,485,0
710,RL,7162,5,7,1966,TA,876,904,109900,2,1,1,1,3,146,1
711,RL,4130,3,6,1935,Gd,270,729,52000,1,3,1,1,2,118,0
712,C (all),8712,4,7,1900,TA,859,1178,102776,3,2,0,0,2,367,0
713,RL,4671,8,5,1988,Gd,1228,1228,189000,3,3,1,1,1,300,1
714,RL,9873,4,5,1970,TA,960,960,129000,2,1,0,1,3,401,1
715,RL,13517,6,8,1976,Gd,725,1479,130500,2,1,1,0,1,328,1
716,RL,10140,6,5,1974,TA,1064,1350,165000,3,1,1,1,1,203,0
717,RM,10800,7,8,1890,TA,718,2554,159500,2,3,0,0,1,251,1
718,RL,10000,5,6,1973,TA,1176,1178,157000,4,2,0,1,2,338,0
719,RL,10542,7,5,1993,Gd,1311,2418,341000,4,1,0,1,2,487,1
720,RL,9920,5,6,1969,TA,971,971,128500,1,1,1,0,1,493,1
721,RL,6563,8,5,1985,Gd,1742,1742,275000,5,2,1,1,1,421,0
722,RM,4426,6,5,2004,Gd,848,848,143000,4,3,0,1,2,358,1
723,RL,8120,4,7,1970,TA,864,864,124500,5,3,0,1,2,339,0
724,RL,8172,4,6,1954,TA,941,1470,135000,1,2,0,0,2,197,0
725,RL,13286,9,5,2007,Ex,1698,1698,320000,1,3,1,1,1,438,0
726,RL,6960,4,6,1970,TA,864,864,120500,2,1,0,0,1,248,0
727,RL,21695,6,9,1988,Gd,880,1680,222000,4,1,0,0,2,371,0
728,RL,7314,7,5,2007,Gd,1232,1232,194500,4,2,0,1,1,259,0
729,RL,11475,5,5,1958,TA,1584,1776,110000,4,1,1,0,2,293,0
730,RM,6240,4,5,1925,TA,780,1208,103000,3,3,1,1,3,223,1
731,RL,5389,8,5,1995,Gd,1595,1616,236500,3,1,1,1,1,305,0
732,RL,9590,7,5,2003,Gd,868,1146,187500,2,3,1,1,3,223,0
733,RL,11404,7,5,1998,Gd,1153,2031,222500,4,3,0,0,3,460,0
734,RL,10000,5,6,1961,TA,864,1144,131400,5,3,0,1,2,302,0
735,RL,8978,5,5,1968,TA,948,948,108000,1,2,1,0,1,475,0
736,RM,10800,7,7,1914,TA,880,1768,163000,4,3,1,1,3,192,1
737,RL,8544,3,4,1950,TA,0,1040,93500,4,1,1,0,2,455,0
738,RL,10463,8,5,2005,Gd,893,1801,239900,5,1,0,1,1,312,1
739,RL,10800,5,5,1987,TA,1200,1200,179000,1,1,1,0,2,207,0
740,RL,9313,7,5,2004,Gd,864,1728,190000,4,2,1,1,2,320,0
741,RM,9600,5,7,1910,TA,264,1432,132000,3,2,1,0,1,253,0
742,RL,6768,6,8,1961,TA,912,912,142000,4,1,1,0,3,188,1
743,RL,8450,7,5,2000,TA,1349,1349,179000,3,3,1,1,1,432,1
744,RL,12886,5,6,1963,TA,520,1464,175000,2,3,0,1,2,496,0
745,RL,5395,8,5,1993,Gd,1337,1337,180000,5,2,0,0,1,419,1
746,RL,8963,8,9,1976,Ex,1142,2715,299800,1,2,0,0,3,333,1
747,RL,8795,7,5,2000,Gd,952,2256,236000,2,3,1,1,3,498,1
748,RM,11700,7,7,1880,Gd,1240,2640,265979,4,3,0,0,2,486,1
749,RL,10593,7,5,1996,Gd,1720,1720,260400,4,2,0,0,2,283,1
750,RL,8405,4,3,1945,TA,0,1529,98000,1,3,1,1,1,365,0
751,RM,8800,4,7,1910,TA,576,1140,96500,1,1,1,1,3,310,1
752,RL,7750,7,5,2003,Gd,660,1320,162000,2,1,0,1,3,425,0
753,RL,9236,6,5,1997,TA,1479,1494,217000,5,2,0,0,2,171,1
754,RL,10240,8,5,2005,Gd,1030,2098,275500,2,1,0,1,2,368,0
755,RL,7930,6,8,1969,TA,1026,1026,156000,1,1,1,0,2,153,0
756,FV,3230,6,5,1999,TA,729,1471,172500,5,3,0,0,2,440,1
757,RL,10769,8,5,2007,Gd,866,1768,212000,2,3,1,0,1,167,0
758,RL,11616,6,5,1978,TA,672,1386,158900,5,1,1,0,3,210,0
759,FV,2280,7,5,1999,TA,744,1501,179400,1,2,0,0,3,499,0
760,RL,12257,8,5,1995,Gd,1318,2531,290000,1,3,1,0,1,225,0
761,RL,9100,6,6,1959,TA,864,864,127500,3,3,0,1,2,184,1
762,RM,6911,5,5,1924,TA,1145,1301,100000,1,2,0,1,2,405,0
763,FV,8640,7,5,2009,TA,756,1547,215200,4,1,0,1,3,198,1
764,RL,9430,8,5,1999,Gd,1252,2365,337000,4,1,1,0,2,120,0
765,RL,9549,8,5,1995,Gd,1494,1494,270000,4,2,1,0,3,495,0
766,RL,14587,9,5,2008,Gd,1498,1506,264132,5,2,1,0,2,341,1
767,RL,10421,7,5,1988,TA,980,1714,196500,4,3,1,0,1,316,1
768,RL,12508,6,7,1940,TA,983,1750,160000,2,1,0,0,2,284,1
769,RL,9100,7,5,2004,Gd,1860,1836,216837,2,3,0,1,2,319,1
770,RL,53504,8,5,2003,Ex,1650,3279,538000,4,1,1,0,1,316,1
771,RL,7252,5,5,1982,TA,858,858,134900,4,3,0,0,3,190,0
772,RL,8877,4,5,1951,TA,836,1220,102000,4,1,0,0,2,433,0
773,RL,7819,6,5,1976,TA,1029,1117,107000,1,2,1,0,1,471,1
774,RL,10150,5,5,1958,TA,912,912,114500,4,3,1,0,2,365,0
775,RL,14226,8,5,2006,Gd,1935,1973,395000,5,1,0,0,1,218,0
776,RM,4500,6,5,1998,TA,1204,1204,162000,5,3,1,0,3,427,1
777,RL,11210,7,5,2005,Gd,1614,1614,221500,2,1,0,0,1,410,0
778,RL,13350,5,5,1974,TA,864,894,142500,2,2,1,0,3,121,1
779,RH,8400,5,5,1977,TA,0,2020,144000,2,1,0,1,1,453,1
780,RL,10530,6,5,1977,TA,975,1004,135000,5,2,1,1,3,455,0
781,RL,7875,7,5,1995,TA,1237,1253,176000,4,2,1,0,1,314,1
782,RL,7153,6,5,1992,Gd,761,1603,175900,4,1,1,1,2,401,0
783,RL,16285,7,5,2001,Gd,1413,1430,187100,3,1,0,1,2,393,1
784,RL,9101,5,6,1978,TA,1097,1110,165500,2,2,0,1,2,219,0
785,RM,6300,6,6,1914,TA,742,1484,128000,4,1,0,1,1,207,1
786,RL,9790,6,5,1967,TA,1372,1342,161500,3,3,1,0,2,300,1
787,RM,10800,5,6,1915,TA,686,1652,139000,1,1,1,0,2,428,0
788,RL,10142,7,5,2004,Gd,956,2084,233000,4,1,1,0,1,254,1
789,RM,6000,4,7,1954,TA,901,901,107900,3,2,0,0,3,404,1
790,RL,12205,6,8,1966,TA,832,2087,187500,5,3,0,0,1,148,0
791,RL,3182,7,5,2005,Gd,1145,1145,160200,1,1,0,0,3,287,1
792,RL,11333,6,5,1976,TA,1029,1062,146800,4,2,0,0,3,475,0
793,RL,9920,7,5,1996,Gd,1117,2013,269790,3,2,1,1,3,489,1
794,RL,9158,8,5,2007,Gd,1496,1496,225000,3,3,0,1,2,374,0
795,RL,10832,7,5,1994,Gd,712,1895,194500,5,3,1,0,2,447,0
796,RL,8400,6,6,1980,TA,650,1564,171000,5,3,1,0,3,399,1
797,RL,8197,6,5,1977,TA,660,1285,143500,2,1,1,0,2,222,0
798,RL,7677,5,5,1953,TA,773,773,110000,1,1,1,1,3,404,0
799,RL,13518,9,5,2008,Ex,1926,3140,485000,1,1,0,0,3,261,1
800,RL,7200,5,7,1937,TA,731,1768,175000,2,3,0,1,1,346,0
801,RL,12798,6,5,1997,TA,616,1688,200000,1,3,0,1,1,108,1
802,RM,4800,4,7,1916,TA,1196,1196,109900,3,2,1,1,2,429,0
803,RL,8199,7,5,2005,Gd,728,1456,189000,1,2,0,0,2,387,1
804,RL,13891,9,5,2008,Ex,1734,2822,582933,4,1,0,1,1,483,1
805,RL,9000,5,5,1954,TA,936,1128,118000,5,3,0,0,3,395,0
806,RL,12274,7,5,2008,Gd,1417,1428,227680,4,3,0,1,2,176,0
807,RL,9750,5,5,1967,TA,980,980,135500,2,3,0,0,1,216,0
808,RL,21384,5,6,1923,TA,1324,1576,223500,2,2,1,1,3,465,0
809,RL,13400,5,5,1966,TA,1024,1086,159950,5,2,1,0,2,106,1
810,RM,8100,5,5,1898,TA,849,2138,106000,3,1,0,1,1,440,0
811,RL,10140,6,6,1974,TA,1040,1309,181000,5,2,1,1,1,492,0
812,RM,4438,6,5,2004,Gd,848,848,144500,5,3,1,1,3,106,1
813,C (all),8712,5,5,1952,Fa,540,1044,55993,3,2,0,1,2,214,1
814,RL,9750,6,6,1958,TA,1442,1442,157900,2,3,0,1,2,152,0
815,RL,8248,5,7,1918,TA,686,1250,116000,3,2,1,1,1,407,1
816,RL,12137,7,5,1998,TA,1649,1661,224900,2,2,0,0,1,137,1
817,RL,11425,5,6,1954,TA,1008,1008,137000,2,1,0,1,2,438,0
818,RL,13265,8,5,2002,Gd,1568,1689,271000,3,3,0,0,1,290,0
819,RL,8816,6,7,1971,TA,1010,1052,155000,4,3,1,1,3,125,1
820,RL,6371,7,5,2009,Gd,1358,1358,224000,3,3,0,1,1,261,1
821,RL,7226,7,5,2003,Gd,798,1640,183000,3,3,0,1,3,465,1
822,RM,6000,4,4,1953,Fa,936,936,93000,1,1,1,0,3,154,1
823,RL,12394,7,5,2003,Gd,847,1733,225000,4,3,1,1,1,477,0
824,RL,9900,6,7,1940,TA,778,1489,139500,2,3,0,1,3,379,0
825,FV,11216,8,5,2006,Gd,1489,1489,232600,3,3,1,0,3,202,1
826,RL,14803,10,5,2007,Ex,2078,2084,385000,3,1,0,0,3,159,1
827,RM,6130,5,6,1924,TA,784,784,109500,3,3,0,0,2,341,0
828,RL,8529,7,5,2001,Gd,1454,1434,189000,1,1,0,0,3,482,1
829,RL,28698,5,5,1967,TA,1013,2126,185000,5,2,1,0,3,282,1
830,FV,2544,7,5,2005,Gd,600,1223,147400,5,3,0,1,2,384,1
831,RL,11900,6,5,1957,TA,1392,1392,166000,1,1,0,0,2,109,1
832,FV,3180,7,5,2005,TA,600,1200,151000,1,2,0,0,3,315,0
833,RL,9548,7,6,2003,Gd,941,1829,237000,2,1,0,1,3,278,1
834,RL,10004,6,6,1964,TA,1516,1516,167000,2,2,1,1,3,360,1
835,RL,7875,5,6,1961,TA,1144,1144,139950,5,1,0,0,2,237,0
836,RL,9600,4,7,1950,TA,1067,1067,128000,4,1,0,1,1,292,1
837,RM,8100,5,6,1948,TA,1559,1559,153500,2,2,0,0,3,144,1
838,RM,1680,6,5,1973,TA,483,987,100000,1,1,0,1,2,102,1
839,RL,9525,5,6,1995,TA,1099,1099,144000,5,2,0,1,1,360,0
840,RL,11767,5,6,1946,TA,768,1200,130500,4,1,1,0,2,393,0
841,RH,12155,6,8,1925,TA,672,1482,140000,4,2,0,0,1,434,1
842,RM,10440,5,8,1904,TA,650,1539,157500,3,1,0,1,3,230,1
843,RL,9020,6,7,1966,TA,1127,1165,174900,1,2,0,1,1,379,0
844,RL,8000,5,4,1961,TA,1800,1800,141000,4,2,0,0,3,115,0
845,RM,12665,5,8,1915,TA,876,1416,153900,4,2,1,0,1,329,0
846,RL,16647,5,5,1975,TA,1390,1701,171000,5,1,1,0,2,482,1
847,RL,9317,7,5,1993,Gd,740,1775,213000,2,1,1,0,3,248,1
848,RL,15523,5,6,1972,TA,864,864,133500,1,1,0,1,3,201,1
849,RL,45600,6,8,1908,TA,907,2358,240000,2,2,1,0,3,379,0
850,RL,9600,6,7,1976,Gd,528,1855,187000,1,3,1,1,2,280,0
851,RM,4435,6,5,2003,Gd,848,848,131500,5,3,0,1,1,365,0
852,RL,3196,8,5,2003,Gd,1273,1456,215000,3,2,1,1,3,352,1
853,RL,7128,7,5,1941,TA,918,1646,164000,2,3,1,1,1,422,1
854,RL,12095,6,6,1964,TA,1127,1445,158000,5,1,1,1,3,441,0
855,RL,17920,5,4,1955,TA,1763,1779,170000,3,3,1,1,1,388,1
856,RL,6897,5,8,1962,TA,1040,1040,127000,1,3,0,1,1,447,1
857,RL,10970,6,6,1978,TA,940,1026,147000,5,1,1,1,2,449,0
858,RL,8125,6,5,1994,TA,702,1481,174000,4,3,1,1,3,211,1
859,RL,10400,7,5,1976,TA,1090,1370,152000,5,1,1,1,1,489,1
860,RL,11029,6,7,1968,TA,1054,2654,250000,3,1,0,0,3,145,1
861,RL,7642,7,8,1918,Gd,912,1426,189950,4,1,0,0,2,136,1
862,RL,11625,5,4,1965,TA,1039,1039,131500,4,1,1,1,2,249,1
863,RL,9672,6,5,1984,TA,1040,1097,152000,1,1,1,1,3,481,1
864,RL,7931,5,5,1959,TA,1148,1148,132500,5,3,1,1,3,127,0
865,FV,8640,7,5,2007,Gd,1372,1372,250580,2,2,1,0,2,343,1
866,RL,8750,5,6,1970,TA,1002,1002,148500,4,1,0,0,2,121,1
867,RL,10656,8,5,2006,Gd,1638,1646,248900,3,3,1,1,2,351,1
868,RL,6970,4,5,1961,TA,1040,1120,129000,1,2,0,1,2,303,1
869,RL,14762,5,6,1948,TA,0,2320,169000,1,3,1,0,2,428,1
870,RL,9938,7,5,1993,Gd,1050,1949,236000,3,1,1,1,1,469,1
871,RL,6600,5,5,1962,TA,894,894,109500,3,3,0,1,1,485,1
872,RL,8750,6,5,1998,TA,804,1682,200500,2,2,0,0,1,130,1
873,RL,8892,5,7,1953,Gd,105,910,116000,4,1,0,1,1,317,1
874,RL,12144,5,7,1949,Gd,832,1268,133000,5,1,1,0,1,105,0
875,RM,5720,5,6,1941,TA,676,1131,66500,5,1,0,1,1,410,1
876,FV,9000,8,5,2007,Gd,1184,2610,303477,2,1,1,0,2,321,1
877,RL,25286,4,5,1963,TA,1064,1040,132250,2,3,0,0,1,388,1
878,RL,8834,9,5,2004,Gd,1462,2224,350000,4,1,0,0,1,139,1
879,RL,11782,5,7,1961,TA,1109,1155,148000,3,2,0,0,3,111,0
880,RL,7000,5,8,1978,Gd,864,864,136500,3,1,0,1,2,474,1
881,RL,7024,5,5,2005,TA,1090,1090,157000,5,3,1,0,1,266,0
882,RL,13758,7,5,1990,Gd,1156,1717,187500,1,1,0,0,2,198,1
883,RL,9636,6,5,1992,TA,808,1593,178000,2,3,0,0,1,135,1
884,RL,6204,4,5,1912,Gd,795,2230,118500,3,3,0,1,3,172,0
885,RL,7150,5,5,1967,TA,892,892,100000,4,2,1,1,1,217,1
886,FV,5119,9,5,1999,Gd,1698,1709,328900,3,2,0,1,2,336,1
887,RL,8393,5,5,1959,TA,1626,1712,145000,1,3,1,0,3,374,0
888,RL,16466,5,7,1955,TA,816,1393,135500,4,1,0,1,2,446,1
889,RL,15865,8,6,1970,Gd,2217,2217,268000,4,2,0,1,1,473,0
890,RL,12160,6,4,1953,TA,1505,1505,149500,3,3,1,0,2,142,0
891,RL,8064,5,7,1949,TA,672,924,122900,3,3,1,0,3,293,1
892,RL,11184,6,5,1978,TA,918,1683,172500,5,3,0,0,2,117,0
893,RL,8414,6,8,1963,TA,1059,1068,154500,4,1,0,1,1,244,1
894,RL,13284,5,5,1954,TA,1383,1383,165000,4,3,1,0,1,165,0
895,RL,7018,5,5,1979,TA,0,1535,118858,3,1,1,0,2,157,0
896,RL,7056,6,5,1963,TA,780,1796,140000,2,1,1,0,1,376,1
897,RM,8765,4,6,1936,TA,951,951,106500,5,2,1,1,1,116,0
898,RL,7018,5,5,1979,TA,0,2240,142953,4,3,0,0,3,248,1
899,RL,12919,9,5,2009,Ex,2330,2364,611657,5,1,1,1,1,162,1
900,RL,6993,5,7,1961,TA,912,1236,135000,4,3,0,1,3,187,1
901,RL,7340,4,6,1971,TA,858,858,110000,3,3,1,0,1,131,1
902,RL,8712,5,7,1957,TA,992,1306,153000,4,3,0,0,2,197,1
903,RL,7875,7,5,2003,Gd,783,1509,180000,4,2,1,0,1,438,1
904,RL,14859,7,5,2006,Gd,1670,1670,240000,2,2,1,1,1,408,0
905,RL,6173,5,6,1967,TA,876,902,125500,5,1,0,1,2,234,0
906,RL,9920,5,5,1954,TA,1056,1063,128000,2,3,1,1,2,328,1
907,RL,13501,8,5,2006,Gd,1623,1636,255000,5,2,0,1,2,285,1
908,RL,11500,7,7,1936,Gd,1017,2057,250000,4,2,1,0,1,463,1
909,RL,8885,5,5,1983,TA,864,902,131000,2,2,1,1,2,279,1
910,RL,12589,6,5,2005,Gd,742,1484,174000,2,2,1,1,3,433,0
911,RL,11600,5,5,1960,TA,1105,2274,154300,5,1,1,0,2,430,0
912,RL,9286,5,7,1977,TA,1268,1268,143500,4,1,0,1,1,157,0
913,RM,6120,5,7,1925,TA,768,1015,88000,2,1,0,0,2,179,1
914,RH,6270,5,6,1949,TA,1001,2002,145000,5,1,0,0,2,434,1
915,FV,3000,6,5,2009,Gd,612,1224,173733,4,2,0,1,1,380,1
916,RM,2001,4,5,1970,TA,546,1092,75000,5,1,0,1,1,245,1
917,C (all),9000,2,3,1949,TA,480,480,35311,1,3,0,1,1,125,1
918,RL,17140,4,6,1956,TA,1134,1229,135000,2,2,0,1,3,258,1
919,RL,13125,7,5,1991,Gd,1104,2127,238000,5,2,1,1,2,169,1
920,RL,11029,6,8,1958,Ex,1184,1414,176500,5,2,0,1,1,402,1
921,RL,8462,6,5,1994,Gd,928,1721,201000,4,2,1,0,1,221,1
922,RL,8777,5,7,1900,TA,1272,2200,145900,5,3,1,0,3,465,1
923,RL,10237,6,5,2005,Gd,1316,1316,169990,2,2,1,1,2,397,1
924,RL,8012,6,5,1993,Gd,1604,1617,193000,5,1,0,1,3,332,0
925,RL,10240,6,6,1980,TA,1686,1686,207500,4,2,0,1,1,345,1
926,RL,15611,5,6,1977,TA,1126,1126,175000,3,1,0,1,2,151,0
927,RL,11999,8,5,2003,Gd,1181,2374,285000,5,2,0,0,1,200,1
928,RL,9900,7,5,1968,TA,832,1978,176000,1,1,1,1,3,188,0
929,RL,11838,8,5,2001,Gd,1753,1788,236500,1,1,1,0,1,217,0
930,RL,13006,7,5,1997,TA,964,2236,222000,2,3,1,0,1,182,1
931,RL,8925,8,5,2007,Gd,1466,1466,201000,4,3,1,0,2,358,0
932,RL,9100,5,6,1965,TA,925,925,117500,1,3,1,1,1,182,0
933,RL,11670,9,5,2006,Ex,1905,1905,320000,4,2,1,1,1,210,0
934,RL,8487,7,5,2004,Gd,1500,1500,190000,3,3,1,1,3,239,0
935,RL,27650,7,7,1960,TA,585,2069,242000,5,1,0,1,2,463,1
936,RL,5825,4,5,1926,TA,600,747,79900,5,3,1,1,1,284,0
937,RL,10083,7,5,2003,Gd,1176,1200,184900,1,3,0,0,2,462,1
938,RL,9675,7,5,2005,Gd,1113,1971,253000,4,2,1,0,2,143,1
939,RL,8760,7,5,2006,Gd,1391,1962,239799,1,3,1,1,2,461,0
940,RL,24090,7,7,1940,TA,1032,2403,244400,5,1,1,0,1,481,0
941,RL,12640,6,5,1976,TA,1728,1728,150900,5,3,0,1,2,327,0
942,RL,8755,7,5,1999,Gd,992,2060,214000,5,1,0,0,3,401,0
943,RL,7711,4,3,1977,TA,1440,1440,150000,1,3,0,1,1,277,0
944,RL,25000,5,4,1967,TA,1632,1632,143000,3,1,0,0,2,132,1
945,RL,14375,6,6,1958,TA,819,1344,137500,3,3,1,1,3,433,0
946,RM,8820,5,6,1890,TA,1088,1869,124900,1,2,1,0,1,370,1
947,RL,8163,5,6,1959,TA,1144,1144,143000,1,1,1,0,2,287,1
948,RL,14536,8,5,2002,Gd,1616,1629,270000,4,3,0,0,1,387,0
949,RL,14006,7,5,2002,Gd,936,1776,192500,3,3,0,0,3,158,1
950,RL,9360,6,7,1972,TA,1161,1381,197500,2,2,0,1,3,430,1
951,RL,7200,5,8,1950,TA,864,864,129000,1,3,0,0,1,351,0
952,RH,7800,5,5,1965,TA,828,965,119900,3,1,0,1,1,160,1
953,RL,7200,5,8,1972,TA,768,768,133900,3,3,1,0,3,338,0
954,RL,11075,5,4,1969,TA,784,1968,172000,2,2,0,0,3,332,1
955,RL,9400,6,5,1975,TA,945,980,127500,4,2,1,1,2,355,1
956,RH,7136,6,6,1946,TA,979,1958,145000,4,1,1,0,1,174,1
957,RM,1300,6,6,1980,TA,561,1229,124000,3,3,1,0,1,437,0
958,RL,7420,5,5,1962,TA,1057,1057,132000,3,1,1,0,1,451,0
959,RL,8450,7,5,2003,Gd,1337,1337,185000,2,2,0,1,3,201,0
960,FV,2572,7,5,1999,Gd,696,1416,155000,3,2,0,1,3,261,0
961,RL,7207,5,7,1958,TA,858,858,116500,4,3,0,1,2,448,0
962,RL,12227,6,7,1977,TA,1330,2872,272000,5,2,1,1,3,366,0
963,RL,2308,6,6,1976,TA,804,1548,155000,4,2,0,0,1,267,0
964,RL,11923,9,5,2007,Gd,1800,1800,239000,2,2,1,0,2,325,0
965,RL,11316,7,5,2002,Gd,817,1894,214900,4,2,1,1,1,273,1
966,RL,10237,6,5,2005,Gd,783,1484,178900,1,2,0,0,3,430,1
967,RL,9600,5,7,1940,Gd,728,1308,160000,1,2,1,1,3,389,0
968,RL,7390,5,7,1955,TA,1098,1098,135000,3,1,1,1,2,425,0
969,RM,5925,3,6,1910,TA,600,968,37900,5,1,0,0,3,443,0
970,RL,10382,6,5,1958,TA,588,1095,140000,5,3,1,1,2,245,1
971,RL,10800,4,4,1949,TA,720,1192,135000,4,2,1,0,1,353,1
972,RL,2268,7,5,2003,Gd,764,1626,173000,5,3,0,1,3,216,1
973,RL,7892,6,5,1979,TA,918,918,99500,4,1,0,1,3,257,0
974,FV,11639,7,5,2007,Gd,1428,1428,182000,3,2,0,1,2,202,0
975,RL,11414,7,8,1910,TA,728,2019,167500,4,1,0,0,3,449,1
976,FV,2651,7,5,2000,Gd,673,1382,165000,3,1,0,0,2,300,0
977,RL,5900,4,7,1923,TA,440,869,85500,5,2,1,1,3,407,0
978,FV,4274,7,5,2006,Gd,1241,1241,199900,4,1,1,0,1,148,1
979,RL,9450,4,5,1954,TA,894,894,110000,3,1,0,0,1,195,0
980,RL,8816,5,6,1963,TA,1121,1121,139000,4,1,0,0,1,308,0
981,RL,12122,7,9,1961,Ex,944,999,178400,2,2,0,0,2,343,0
982,RL,12203,8,5,1998,Gd,1225,2612,336000,5,2,1,1,2,227,0
983,RL,3182,7,5,2007,Gd,1266,1266,159895,3,1,1,1,2,399,1
984,RL,11250,8,5,2002,Gd,1128,2290,255900,4,1,0,0,2,378,0
985,RL,10125,5,5,1977,TA,0,1734,126000,1,2,1,1,3,329,0
986,RL,10880,5,5,1950,TA,1164,1164,125000,2,3,0,0,3,247,0
987,RM,5310,6,8,1910,TA,485,1635,117000,4,2,1,1,3,369,0
988,RL,10159,9,5,2009,Ex,1930,1940,395192,3,1,1,0,3,300,1
989,RL,12046,6,6,1976,TA,848,2030,195000,4,1,0,0,1,145,1
990,FV,8125,7,5,2006,Gd,770,1576,197000,4,1,1,0,2,403,0
991,RL,9452,8,5,1997,Gd,1396,2392,348000,2,2,1,0,2,357,1
992,RM,17671,8,9,1882,Gd,916,1742,168000,1,1,1,0,3,222,0
993,RL,9760,6,8,1964,TA,822,1851,187000,3,1,0,1,2,212,0
994,RL,8846,6,5,2005,TA,750,1500,173900,4,2,0,1,3,195,0
995,RL,12456,10,5,2006,Ex,1700,1718,337500,4,1,0,1,2,263,1
996,RL,4712,4,7,1946,TA,747,1230,121600,3,2,0,1,1,320,1
997,RL,10659,5,6,1961,TA,1050,1050,136500,4,1,1,1,2,187,1
998,RL,11717,6,6,1970,TA,1442,1442,185000,3,2,1,0,3,448,1
999,RM,9786,3,4,1922,TA,1007,1077,91000,5,2,1,1,1,339,1
1000,RL,6762,7,5,2006,Gd,1187,1208,206000,5,1,0,1,2,180,0
1001,RL,10206,3,3,1952,TA,0,944,82000,1,1,0,1,2,295,0
1002,RL,5400,5,6,1920,TA,691,691,86000,2,2,0,0,2,362,0
1003,RL,11957,8,5,2006,Gd,1574,1574,232000,4,1,1,0,2,182,1
1004,RL,11500,5,6,1976,TA,1680,1680,136905,4,3,0,1,3,182,1
1005,RL,3182,7,5,2005,Gd,1346,1504,181000,2,2,1,0,3,313,0
1006,RL,8385,5,8,1977,Gd,985,985,149900,2,2,0,0,1,104,1
1007,RL,12155,6,3,1970,TA,1657,1657,163500,1,3,0,1,3,439,0
1008,RM,2217,4,4,1970,TA,546,1092,88000,2,2,1,0,1,458,1
1009,RL,12118,7,5,2004,Gd,1710,1710,240000,3,1,0,0,2,495,0
1010,RL,6000,5,5,1926,TA,1008,1522,102000,4,3,1,1,2,486,1
1011,RL,21286,5,5,1948,TA,720,1271,135000,3,1,1,1,1,372,1
1012,RL,9825,5,5,1965,TA,0,1664,100000,4,1,0,0,3,391,1
1013,RL,10592,6,7,1923,TA,602,1502,165000,3,2,0,0,1,441,1
1014,RM,7200,5,4,1910,TA,1022,1022,85000,5,3,0,1,2,250,1
1015,RL,11664,6,5,1948,TA,1082,1082,119200,1,3,1,1,2,466,1
1016,RL,8400,8,6,2001,Gd,810,1665,227000,2,2,1,0,2,488,1
1017,RL,11883,7,5,1996,Gd,1504,1504,203000,1,1,0,1,1,230,0
1018,RL,5814,8,5,1984,Gd,1220,1360,187500,2,2,0,1,2,235,0
1019,RL,10784,7,5,1991,Gd,384,1472,160000,2,2,1,1,1,427,1
