Id,MSZoning,LotArea,OverallQual,OverallCond,YearBuilt,ExterQual,TotalBsmtSF,GrLivArea,SalePrice
1039,RM,1533,4,6,1970,TA,546,1344,97000
1040,RM,1477,4,4,1970,TA,630,630,80000
1041,RL,13125,5,4,1957,TA,1134,1803,155000
1042,RL,9130,6,8,1966,TA,800,1632,173000
1043,RL,5381,6,5,2005,Gd,1306,1306,196000
1044,RL,11839,7,5,1990,TA,1475,2329,262280
1045,RL,9600,8,5,1981,Gd,2524,2524,278000
1046,RL,13680,3,5,1955,TA,0,1733,139600
1047,RL,16056,9,5,2005,Gd,1992,2868,556581
1048,RL,9245,5,5,1994,TA,990,990,145000
1049,RL,21750,5,4,1960,TA,0,1771,115000
1050,RL,11100,4,7,1946,TA,0,930,84900
1051,RL,8993,7,5,2007,Gd,1302,1302,176485
1052,RL,11175,7,5,2007,Gd,1316,1316,200141
1053,RL,9500,6,6,1964,TA,816,1977,165000
1054,RL,8562,5,6,1957,TA,1216,1526,144500
1055,RL,11367,8,5,2002,Gd,1065,1989,255000
1056,RL,11361,6,5,1976,TA,1193,1523,180000
1057,RL,7052,7,5,2005,Gd,1364,1364,185850
1058,RL,29959,7,6,1994,Gd,973,1850,248000
1059,RL,11308,9,5,2008,Ex,1104,2184,335000
1060,RL,11275,6,7,1932,TA,854,1991,220000
1061,RL,4920,8,5,2001,Gd,1338,1338,213500
1062,C (all),18000,3,4,1935,Fa,894,894,81000
1063,RM,13600,5,5,1900,TA,662,2337,90000
1064,RM,6000,6,6,1925,TA,1103,1103,110500
1065,RL,11000,5,6,1966,TA,1154,1154,154000
1066,RL,14000,7,5,1996,Gd,1306,2260,328000
1067,RL,7837,6,7,1993,Gd,799,1571,178000
1068,RL,9760,6,6,1964,TA,780,1611,167900
1069,RM,3964,6,4,1973,TA,942,2521,151400
1070,RL,9600,5,7,1949,TA,845,893,135000
1071,RL,10152,5,5,1956,TA,1048,1048,135000
1072,RL,11700,6,6,1968,TA,727,1556,154000
1073,RL,7585,5,3,1948,TA,810,1456,91500
1074,RL,7950,6,6,1977,TA,690,1426,159500
1075,RL,8556,7,5,2006,Gd,1240,1240,194000
1076,RL,13125,7,6,1940,TA,800,1740,219500
1077,RL,10800,5,8,1936,TA,796,1466,170000
1078,RL,15870,5,5,1969,TA,1096,1096,138800
1079,RM,4435,6,5,2004,Gd,848,848,155900
1080,RL,8775,5,5,1994,TA,990,990,126000
1081,RL,11040,6,7,1971,Gd,1258,1258,145000
1082,RL,7500,5,5,1963,TA,1040,1040,133000
1083,RL,8749,7,5,2002,Gd,1459,1459,192000
1084,RL,8800,6,6,1964,TA,1251,1251,160000
1085,RL,13031,6,5,1995,TA,691,1498,187500
1086,RL,9069,6,6,1992,TA,936,996,147000
1087,RM,1974,4,5,1973,TA,546,1092,83500
1088,FV,10574,8,5,2005,Gd,1082,1953,252000
1089,RM,2522,7,5,2004,Gd,970,1709,137500
1090,FV,3316,8,5,2005,Gd,1247,1247,197000
1091,RL,8544,3,4,1950,TA,0,1040,92900
1092,FV,2160,7,5,1999,Gd,600,1252,160000
1093,RL,8400,6,5,1925,TA,1181,1694,136500
1094,RL,9230,5,8,1965,TA,864,1200,146000
1095,RL,5868,5,7,1956,TA,936,936,129000
1096,RL,9317,6,5,2006,Gd,1314,1314,176432
1097,RM,6882,6,7,1914,TA,684,1355,127000
1098,RL,3696,8,5,1986,Gd,1074,1088,170000
1099,RM,6000,4,6,1936,TA,672,1324,128000
1100,RL,11880,7,5,1978,TA,1271,1601,157000
1101,RL,8400,2,5,1920,TA,290,438,60000
1102,RL,9758,5,5,1971,TA,950,950,119500
1103,RL,7000,5,7,1960,TA,1010,1134,135000
1104,RL,8910,6,6,1959,TA,655,1194,159500
1105,RM,2016,5,5,1970,TA,630,1302,106000
1106,RL,12256,8,5,1994,Gd,1463,2622,325000
1107,RL,10357,7,5,1990,Gd,910,1442,179900
1108,RL,23257,7,5,2006,Gd,868,2021,274725
1109,RL,8063,6,5,2000,TA,924,1690,181000
1110,RL,11362,8,5,2004,Gd,1836,1836,280000
1111,RL,8000,6,5,1995,TA,773,1658,188000
1112,RL,10480,7,6,1976,TA,803,1964,205000
1113,RL,7100,5,7,1957,TA,816,816,129900
1114,RL,8923,5,7,1953,TA,1008,1008,134500
1115,RL,5400,5,7,1954,TA,833,833,117000
1116,RL,12085,8,5,2007,Gd,1734,1734,318000
1117,RL,7750,8,5,2002,Gd,408,1419,184100
1118,RL,9764,5,7,1967,TA,894,894,130000
1119,RL,13825,5,6,1958,TA,533,1601,140000
1120,RL,7560,5,5,1959,TA,1040,1040,133700
1121,RM,8263,6,5,1920,TA,1012,1012,118400
1122,RL,10084,7,5,2005,Gd,1552,1552,212900
1123,RL,8926,4,3,1956,TA,672,960,112000
1124,RL,9405,5,9,1947,TA,698,698,118000
1125,RL,9125,7,5,1992,TA,384,1482,163900
1126,RL,10434,4,5,1955,TA,1005,1005,115000
1127,RL,3684,7,5,2007,Gd,1373,1555,174000
1128,RL,14572,7,5,2004,Gd,1530,1530,259000
1129,RL,11796,7,5,2004,Gd,847,1959,215000
1130,RM,7200,5,5,1980,TA,936,936,140000
1131,RL,7804,4,3,1928,TA,1122,1981,135000
1132,RL,10712,5,5,1991,TA,974,974,93500
1133,RM,9900,6,4,1880,TA,1008,2210,117500
1134,RL,9828,8,5,1995,Gd,1128,2020,239500
1135,RL,8773,6,5,1997,TA,916,1600,169000
1136,RM,6180,6,5,1926,TA,960,986,102000
1137,RL,9600,6,5,1950,TA,1032,1252,119000
1138,RL,6342,5,8,1875,TA,780,1020,94000
1139,RL,9819,6,5,1977,TA,1567,1567,196000
1140,RL,8731,5,5,1920,TA,915,1167,144000
1141,RL,7350,5,7,1951,TA,952,952,139000
1142,RL,10304,5,7,1976,TA,780,1868,197500
1143,RL,9965,8,5,2006,Gd,1466,2828,424870
1144,RL,9000,5,3,1959,TA,1006,1006,80000
1145,RL,12180,4,4,1941,TA,672,924,80000
1146,RM,6240,5,6,1928,TA,1042,1576,149000
1147,RL,11200,6,5,1985,Gd,1298,1298,180000
1148,RL,12000,7,7,1941,TA,704,1564,174500
1149,RM,5700,7,7,1926,TA,572,1111,116900
1150,RM,9000,7,9,1920,TA,650,1482,143000
1151,RL,8280,6,5,1950,TA,932,932,124000
1152,RL,17755,5,4,1959,TA,1466,1466,149900
1153,RL,14115,6,7,1956,TA,1073,1811,230000
1154,RM,5890,6,8,1930,Gd,816,816,120500
1155,RL,13700,7,6,1965,TA,864,1820,201800
1156,RL,10768,5,8,1976,Gd,1437,1437,218000
1157,RL,9350,5,8,1965,TA,1219,1265,179900
1158,RL,5001,7,5,2007,Gd,1314,1314,230000
1159,RL,11932,8,5,2007,Gd,1580,1580,235128
1160,RL,9120,6,6,1974,Gd,901,1876,185000
1161,RL,2280,6,5,1978,TA,855,1456,146000
1162,RL,14778,6,7,1954,Gd,1296,1640,224000
1163,RL,8724,5,5,1968,TA,894,894,129000
1164,RL,12900,4,4,1969,TA,1198,1258,108959
1165,RL,16157,5,7,1978,TA,1360,1432,194000
1166,RL,9541,7,5,2009,Gd,1502,1502,233170
1167,RL,10475,8,5,2008,Gd,1694,1694,245350
1168,RL,10852,6,5,2000,TA,959,1671,173000
1169,RL,13728,6,7,1935,TA,1127,2108,235000
1170,RL,35760,10,5,1995,Gd,1930,3627,625000
1171,RL,9880,6,6,1977,TA,1096,1118,171000
1172,RL,9120,6,6,1958,TA,1261,1261,163000
1173,FV,4017,7,5,2006,Gd,625,1250,171900
1174,RL,18030,5,6,1946,TA,1598,3086,200500
1175,RL,16560,6,8,1932,TA,952,2345,239000
1176,RL,10678,8,5,1992,Gd,1683,2872,285000
1177,RL,6951,5,5,1984,TA,876,923,119500
1178,RM,3950,6,8,1926,TA,818,1224,115000
1179,RL,7681,5,6,1921,TA,731,1343,154900
1180,RL,8335,5,5,1954,TA,0,1124,93000
1181,RL,11170,7,5,1990,TA,1216,2514,250000
1182,RM,5587,8,5,2008,Ex,1600,1652,392500
1183,RL,15623,10,5,1996,Gd,2396,4476,745000
1184,RL,10800,5,6,1920,TA,1120,1130,120000
1185,RL,35133,5,4,1963,TA,1572,1572,186700
1186,RL,9738,5,7,1924,TA,784,1221,104900
1187,RL,10615,3,5,1900,TA,978,1699,95000
1188,RL,12461,8,5,1994,Gd,1624,1624,262000
1189,RL,8935,7,5,2002,Gd,831,1660,195000
1190,RL,7500,7,5,1999,TA,994,1804,189000
1191,RL,32463,4,4,1961,TA,1249,1622,168000
1192,FV,2645,8,5,1999,Gd,776,1441,174000
1193,RM,9600,5,8,1925,TA,702,1472,125000
1194,RM,4500,6,5,1999,TA,1224,1224,165000
1195,RL,9364,6,7,1969,TA,663,1352,158000
1196,RL,8029,6,5,2005,TA,728,1456,176000
1197,RL,14054,7,5,2006,Gd,879,1863,219210
1198,RM,8850,7,6,1916,TA,815,1690,144000
1199,RL,9100,7,5,2001,Gd,1212,1212,178000
1200,RL,11235,4,5,1963,TA,1051,1382,148000
1201,RL,9353,4,5,1970,TA,864,864,116050
1202,RL,10400,7,5,1998,TA,866,1779,197900
1203,RM,6000,5,8,1925,TA,884,1348,117000
1204,RL,9750,7,5,2000,Gd,1630,1630,213000
1205,RL,10140,5,6,1975,TA,1056,1074,153500
1206,RL,14684,7,7,1990,Gd,2158,2196,271900
1207,RH,8900,4,4,1966,TA,1056,1056,107000
1208,RL,9135,6,5,2003,Gd,1682,1700,200000
1209,RL,7763,5,7,1962,TA,931,1283,140000
1210,RL,10182,8,5,2006,Gd,1660,1660,290000
1211,RL,11218,6,5,1992,Gd,1055,1845,189000
1212,RL,12134,8,7,1988,Gd,559,1752,164000
1213,RL,9340,4,6,1941,TA,672,672,113000
1214,RL,10246,4,9,1965,TA,648,960,145000
1215,RL,10205,5,5,1962,TA,925,999,134500
1216,RL,7094,5,5,1966,TA,894,894,125000
1217,RM,8930,6,5,1978,TA,0,1902,112000
1218,FV,8640,8,5,2009,Gd,1300,1314,229456
1219,RM,6240,4,5,1947,TA,0,912,80500
1220,RM,1680,6,5,1971,TA,672,1218,91500
1221,RL,7800,5,5,1964,TA,912,912,115000
1222,RL,8250,5,5,1968,TA,952,1211,134000
1223,RL,10496,6,6,1949,TA,1040,1846,143000
1224,RL,10680,5,3,1951,TA,2136,2136,137900
1225,RL,15384,7,5,2004,Gd,788,1490,184000
1226,RL,10482,6,8,1958,TA,588,1138,145000
1227,RL,14598,6,5,2007,Gd,894,1933,214000
1228,RL,8872,5,8,1965,TA,912,912,147000
1229,RL,8769,9,5,2008,Ex,1702,1702,367294
1230,RL,7910,5,5,1960,TA,1075,1507,127000
1231,RL,18890,5,5,1977,TA,1361,2620,190000
1232,RL,7728,5,6,1962,TA,1106,1190,132500
1233,RL,9842,4,5,1962,TA,0,1224,101800
1234,RL,12160,5,5,1959,TA,1188,1188,142000
1235,RH,8525,5,6,1911,TA,940,1964,130000
1236,RL,13132,5,5,1914,TA,747,1784,138887
1237,RL,2628,7,5,2003,Gd,764,1626,175500
1238,RL,12393,7,5,2004,Gd,847,1948,195000
1239,RL,13072,6,5,2005,Gd,1141,1141,142500
1240,RL,9037,8,5,2006,Gd,1476,1484,265900
1241,RL,8158,7,5,2003,Gd,884,1768,224900
1242,RL,9849,7,6,2007,Gd,1689,1689,248328
1243,RL,10625,7,6,1974,TA,1053,1173,170000
1244,RL,13891,10,5,2006,Ex,2076,2076,465000
1245,RL,11435,8,7,1929,TA,792,1517,230000
1246,RL,12090,6,7,1984,TA,585,1868,178000
1247,FV,8125,7,5,2005,Gd,756,1553,186500
1248,RL,12328,6,5,1976,TA,1012,1034,169900
1249,RM,9600,6,5,1917,TA,735,2058,129500
1250,RL,7200,5,7,1950,TA,876,988,119000
1251,RL,11160,7,5,1968,Gd,2110,2110,244000
1252,RL,3136,7,5,2003,Gd,1405,1405,171750
1253,RL,9858,5,6,1968,TA,864,874,130000
1254,RL,17542,7,7,1974,Gd,1192,2167,294000
1255,RL,6931,7,5,2003,Gd,746,1656,165400
1256,RM,6240,6,6,1931,TA,884,1367,127500
1257,RL,14303,8,5,1994,Gd,1986,1987,301500
1258,RL,4060,5,8,1922,TA,864,864,99900
1259,RL,9587,7,5,2005,Gd,856,1166,190000
1260,RL,9750,6,8,1969,TA,1054,1054,151000
1261,RL,24682,6,5,1999,TA,841,1675,181000
1262,RL,9600,5,6,1956,TA,1050,1050,128900
1263,RL,11250,4,5,1957,TA,1104,1788,161500
1264,RL,13515,6,6,1919,TA,764,1824,180500
1265,RH,4060,6,5,1998,Gd,1405,1337,181000
1266,FV,3735,7,5,1999,Gd,691,1452,183900
1267,RM,10120,7,4,1910,Fa,925,1889,122000
1268,RL,13214,9,5,2008,Ex,2002,2018,378500
1269,RL,14100,8,9,1935,TA,728,3447,381000
1270,RL,11344,5,5,1958,TA,874,1524,144000
1271,RL,23595,7,6,1979,Gd,1332,1524,260000
1272,RL,9156,6,7,1968,TA,1489,1489,185750
1273,RL,13526,5,6,1965,TA,935,935,137000
1274,RL,11512,6,7,1959,TA,1019,1357,177000
1275,RL,5362,5,6,1910,TA,661,1250,139000
1276,RL,11345,5,5,1948,TA,928,1920,137000
1277,RL,12936,6,6,1972,TA,723,1395,162000
1278,RL,17871,6,5,1967,TA,1680,1724,197900
1279,RL,9473,8,5,2002,Gd,1128,2031,237000
1280,C (all),7500,4,4,1920,TA,698,1128,68400
1281,RL,9808,7,5,2002,Gd,1573,1573,227000
1282,RL,8049,7,5,1990,TA,1309,1339,180000
1283,RL,8800,5,7,1977,TA,1040,1040,150500
1284,RL,9400,6,5,1971,TA,912,1824,139000
1285,RL,9638,6,7,1919,TA,804,2447,169000
1286,RM,6000,6,6,1939,TA,780,1412,132500
1287,RL,9790,6,5,1963,TA,1328,1328,143000
1288,RL,36500,5,5,1964,TA,1624,1582,190000
1289,RL,5664,8,5,2000,Gd,1501,1659,278000
1290,RL,11065,8,5,2006,Gd,1085,1970,281000
1291,RL,14112,5,7,1964,TA,1152,1152,180500
1292,RM,1680,5,7,1972,TA,630,1302,119500
1293,RM,6600,5,4,1892,TA,994,2372,107500
1294,RL,10140,7,5,1976,TA,832,1664,162900
1295,RL,8172,5,7,1955,TA,864,864,115000
1296,RL,8400,5,5,1968,TA,1052,1052,138500
1297,RL,8700,5,6,1963,TA,1120,1128,155000
1298,RM,3675,6,5,2005,TA,547,1072,140000
1299,RL,63887,10,5,2008,Ex,6110,5642,160000
1300,RL,7500,5,7,1959,TA,1246,1246,154000
1301,RL,10762,7,5,1999,Gd,978,1983,225000
1302,RL,7500,6,7,1942,TA,771,1494,177500
1303,RL,10120,8,5,1994,Gd,1165,2526,290000
1304,RL,8688,7,5,2005,Gd,1616,1616,232000
1305,RM,3363,7,5,2004,Gd,976,1708,130000
1306,RL,13173,9,5,2006,Gd,1652,1652,325000
1307,RL,6955,7,5,2005,Gd,1368,1368,202500
1308,RL,8072,5,5,1994,TA,990,990,138000
1309,RM,12000,5,7,1948,TA,924,1122,147000
1310,RL,7153,6,5,1991,TA,1278,1294,179200
1311,RL,17500,7,8,1959,Gd,1902,1902,335000
1312,RL,8814,7,5,2005,Gd,1274,1274,203000
1313,RL,9572,8,5,1990,Gd,1453,2810,302000
1314,RL,14774,9,5,1999,Gd,1393,2599,333168
1315,RL,8190,4,6,1954,TA,948,948,119000
1316,RL,11075,6,5,1969,TA,952,2112,206900
1317,RL,10226,8,5,2008,Gd,1622,1630,295493
1318,FV,4230,7,5,2006,Gd,1352,1352,208900
1319,RL,14781,8,5,2001,Gd,1753,1787,275000
1320,RL,10215,4,5,1954,TA,864,948,111000
1321,RL,8400,6,3,1957,TA,1478,1478,156500
1322,RL,6627,3,6,1949,TA,0,720,72500
1323,RL,10186,7,5,1992,Gd,750,1923,190000
1324,RL,5330,4,7,1940,Fa,420,708,82500
1325,RL,9986,8,5,2006,Gd,1795,1795,147000
1326,RM,3636,4,4,1922,TA,796,796,55000
1327,RH,4270,3,6,1931,TA,544,774,79000
1328,RL,6600,5,9,1982,Gd,816,816,130500
1329,RM,10440,6,7,1920,Gd,1510,2792,256000
1330,RL,9084,7,5,1998,TA,935,1632,176500
1331,RL,10000,8,5,2006,Gd,1588,1588,227000
1332,RL,10780,5,5,1976,TA,911,954,132500
1333,RL,8877,4,6,1938,TA,816,816,100000
1334,RM,7200,5,6,1938,TA,803,1360,125500
1335,RM,2368,5,6,1970,TA,765,1365,125000
1336,RL,9650,6,5,1977,TA,1350,1334,167900
1337,RL,9246,5,5,1973,TA,1656,1656,135000
1338,RM,4118,4,4,1941,TA,693,693,52500
1339,RL,13450,7,5,2002,Gd,916,1861,200000
1340,RL,9560,5,7,1972,TA,864,864,128500
1341,RL,8294,4,5,1971,TA,858,872,123000
1342,RL,13695,6,5,2003,TA,1114,1114,155000
1343,RL,9375,8,5,2002,Gd,1284,2169,228500
1344,RL,7558,6,6,1928,TA,896,1913,177000
1345,RL,11103,7,5,2006,Gd,728,1456,155835
1346,RM,6000,4,4,1920,TA,960,960,108500
1347,RL,20781,7,7,1968,TA,1568,2156,262500
1348,RL,15306,8,5,2006,Gd,1732,1776,283463
1349,RL,16196,7,5,1998,Gd,1482,1494,215000
1350,RM,5250,8,5,1872,TA,684,2358,122000
1351,RL,11643,5,5,1969,TA,1248,2634,200000
1352,RL,9247,6,6,1962,TA,858,1716,171000
1353,RM,6000,6,9,1937,Gd,698,1176,134900
1354,RL,14720,8,5,1995,Gd,2033,3238,410000
1355,RL,10316,7,5,2000,Gd,992,1865,235000
1356,RL,10192,7,6,1968,TA,570,1920,170000
1357,RL,9477,5,5,1966,TA,864,892,110000
1358,RL,12537,5,6,1971,TA,1078,1078,149900
1359,FV,2117,6,5,2000,Gd,756,1573,177500
1360,RL,16737,9,5,2004,Gd,1980,1980,315000
1361,RL,9842,5,6,1921,TA,612,2601,189000
1362,RL,16158,7,5,2005,Gd,1530,1530,260000
1363,RL,12513,4,4,1920,TA,715,1738,104900
1364,RL,8499,6,5,2006,TA,616,1412,156932
1365,FV,3180,7,5,2005,Gd,600,1200,144152
1366,FV,7500,7,5,2000,Gd,814,1674,216000
1367,RL,9179,7,5,1999,Gd,873,1790,193000
1368,RM,2665,5,6,1977,TA,757,1475,127000
1369,RM,4435,6,5,2003,Gd,848,848,144000
1370,RL,10635,8,5,2003,Gd,1657,1668,232000
1371,RL,5400,4,6,1920,Fa,840,1374,105000
1372,RL,9600,6,6,1955,TA,992,1661,165500
1373,RL,9750,7,6,1998,TA,1108,2097,274300
1374,RL,11400,10,5,2001,Ex,2633,2633,466500
1375,FV,10625,7,5,2005,Gd,1026,1958,250000
1376,RL,10991,8,5,2007,Gd,1571,1571,239000
1377,RL,6292,6,5,1930,TA,768,790,91000
1378,RL,10998,5,5,1941,TA,984,1604,117000
1379,RM,1953,6,5,1973,TA,483,987,83000
1380,RL,9735,5,5,2006,TA,384,1394,167500
1381,RL,8212,3,3,1914,TA,864,864,58500
1382,RL,12925,6,7,1970,TA,1205,2117,237500
1383,RM,7200,7,7,1920,TA,596,1762,157000
1384,RL,25339,5,7,1918,TA,816,1416,112000
1385,RL,9060,6,5,1939,TA,560,1258,105000
1386,RM,5436,4,8,1922,TA,796,1154,125500
1387,RL,16692,7,5,1978,TA,1392,2784,250000
1388,RM,8520,6,7,1916,TA,714,2526,136000
1389,RL,14892,9,5,2006,Ex,1746,1746,377500
1390,RM,6000,6,6,1941,TA,735,1218,131000
1391,RL,9100,7,5,2000,Gd,1525,1525,235000
1392,RL,8944,5,5,1967,TA,1584,1584,124000
1393,RL,7838,5,5,1967,TA,864,900,123000
1394,RM,10800,6,7,1905,TA,482,1912,163000
1395,RL,4045,7,5,2006,Gd,1356,1500,246578
1396,RL,12665,8,5,2005,Gd,1094,2482,281213
1397,RL,57200,5,5,1948,TA,747,1687,160000
1398,RM,6120,5,8,1920,TA,939,1513,137500
1399,RL,7200,5,4,1950,TA,1208,1904,138000
1400,RL,6171,6,6,1925,TA,976,1608,137450
1401,RM,6000,6,7,1929,TA,862,1158,120000
1402,RL,7415,6,5,2004,TA,839,1593,193000
1403,RL,6762,7,5,2006,Gd,1286,1294,193879
1404,RL,15256,8,5,2007,Gd,1485,1464,282922
1405,RL,10410,3,4,1915,TA,672,1214,105000
1406,RM,3842,8,5,2004,Gd,1594,1646,275000
1407,RL,8445,5,7,1972,TA,768,768,133000
1408,RL,8780,5,5,1985,TA,833,833,112000
1409,RM,7740,4,7,1910,TA,622,1363,125500
1410,RL,20544,7,6,1986,TA,791,2093,215000
1411,RL,12420,7,5,2001,Gd,944,1840,230000
1412,RL,9600,6,8,1950,TA,856,1668,140000
1413,RL,7200,4,5,1949,TA,0,1040,90000
1414,RL,10994,8,5,2005,Gd,1844,1844,257000
1415,RL,13053,6,7,1923,TA,833,1848,207000
1416,RL,3635,7,5,2007,Gd,1386,1569,175900
1417,RM,11340,4,6,1885,TA,777,2290,122500
1418,RL,16545,8,5,1998,Gd,1284,2450,340000
1419,RL,9204,5,5,1963,TA,1144,1144,124000
1420,RL,16381,6,5,1969,Gd,1844,1844,223000
1421,RL,11700,6,6,1968,TA,708,1416,179900
1422,RL,4043,6,5,1977,TA,1069,1069,127500
1423,RM,4435,6,5,2003,Gd,848,848,136500
1424,RL,19690,6,7,1966,Gd,697,2201,274970
1425,RL,9503,5,5,1958,TA,1024,1344,144000
1426,RL,10721,6,6,1959,Gd,1252,1252,142000
1427,RL,10944,7,5,1994,Gd,1223,2127,271000
1428,RL,10930,5,6,1945,TA,913,1558,140000
1429,RM,7200,5,7,1940,TA,788,804,119000
1430,RL,12546,6,7,1981,Gd,1440,1440,182900
1431,RL,21930,5,5,2005,Gd,732,1838,192140
1432,RL,4928,6,6,1976,TA,958,958,143750
1433,RL,10800,4,6,1927,TA,656,968,64500
1434,RL,10261,6,5,2000,TA,936,1792,186500
1435,RL,17400,5,5,1977,TA,1126,1126,160000
1436,RL,8400,6,9,1962,Gd,1319,1537,174000
1437,RL,9000,4,6,1971,TA,864,864,120500
1438,RL,12444,8,5,2008,Ex,1932,1932,394617
1439,RM,7407,6,7,1957,TA,912,1236,149700
1440,RL,11584,7,6,1979,TA,539,1725,197000
1441,RL,11526,6,7,1922,TA,588,2555,191000
1442,RM,4426,6,5,2004,Gd,848,848,149300
1443,FV,11003,10,5,2008,Ex,1017,2007,310000
1444,RL,8854,6,6,1916,TA,952,952,121000
1445,RL,8500,7,5,2004,Gd,1422,1422,179600
1446,RL,8400,6,5,1966,TA,814,913,129000
1447,RL,26142,5,7,1962,TA,1188,1188,157900
1448,RL,10000,8,5,1995,Gd,1220,2090,240000
1449,RL,11767,4,7,1910,TA,560,1346,112000
1450,RM,1533,5,7,1970,TA,630,630,92000
1451,RL,9000,5,5,1974,TA,896,1792,136000
1452,RL,9262,8,5,2008,Gd,1573,1578,287090
1453,RM,3675,5,5,2005,TA,547,1072,145000
1454,RL,17217,5,5,2006,TA,1140,1140,84500
1455,FV,7500,7,5,2004,Gd,1221,1221,185000
1456,RL,7917,6,5,1999,TA,953,1647,175000
1457,RL,13175,6,6,1978,TA,1542,2073,210000
1458,RL,9042,7,9,1941,Ex,1152,2340,266500
1459,RL,9717,5,6,1950,TA,1078,1078,142125
1460,RL,9937,5,6,1965,Gd,1256,1256,147500
